state,date,est_infections,est_population,infection_rate,scaled_ir,severe
Texas,2020-07-23,1317.5192157652,28995881,4.543815087960942e-05,0.19982473807853732,0
Texas,2020-07-24,1265.72036259119,28995881,4.36517297953868e-05,0.1919685397426138,0
Texas,2020-07-25,1205.2301517598,28995881,4.1565564148914805e-05,0.1827941456285821,0
Texas,2020-07-26,1162.9090245182301,28995881,4.0106007626332514e-05,0.1763754095169407,0
Texas,2020-07-27,1126.76628590346,28995881,3.885952925187753e-05,0.17089373365807156,0
Texas,2020-07-28,1090.3788767891401,28995881,3.760461276514206e-05,0.16537494925618215,0
Texas,2020-07-29,1062.41247198972,28995881,3.664011698729623e-05,0.1611333568388966,0
Texas,2020-07-30,1030.36443890384,28995881,3.553485541287192e-05,0.15627271439661877,0
Texas,2020-07-31,992.058894100349,28995881,3.421378692029909e-05,0.15046301130665102,0
Texas,2020-08-01,962.95844037091,28995881,3.321018045186867e-05,0.14604942061583345,0
Texas,2020-08-02,935.6266816320571,28995881,3.226757212971239e-05,0.14190408332813886,0
Texas,2020-08-03,899.9087316829449,28995881,3.103574372108042e-05,0.13648683406954704,0
Utah,2020-05-04,168.449777618586,3205958,5.254272751501611e-05,0.2310687508331291,0
Utah,2020-05-05,160.04009467611,3205958,4.991958555792371e-05,0.21953287966579552,0
Utah,2020-05-06,151.902146003448,3205958,4.738120274920881e-05,0.20836975638322364,0
Utah,2020-05-07,149.337229558595,3205958,4.65811559473315e-05,0.20485136622925573,0
Utah,2020-05-08,144.280252413596,3205958,4.500378745248565e-05,0.19791452482395028,0
Utah,2020-05-09,136.912746333183,3205958,4.2705720515734456e-05,0.18780824596069895,0
Utah,2020-05-10,133.472050112537,3205958,4.163250114709457e-05,0.18308851650136007,0
Utah,2020-05-11,129.653687652342,3205958,4.044148041001847e-05,0.17785072838113117,0
Utah,2020-05-12,125.049178248741,3205958,3.9005245311617e-05,0.17153455360592879,0
Utah,2020-05-13,119.37894092836201,3205958,3.723658916566032e-05,0.16375648067933637,0
Utah,2020-05-14,111.388932714377,3205958,3.4744351833173426e-05,0.15279629276108292,0
